neighbourhood,price
Kensington,149
Midtown,225
Harlem,150
Clinton Hill,89
East Harlem,80
Murray Hill,200
Bedford-Stuyvesant,60
Hell's Kitchen,79
Upper West Side,79
Chinatown,150
Upper West Side,135
Hell's Kitchen,85
South Slope,89
Upper West Side,85
West Village,120
Williamsburg,140
Fort Greene,215
Chelsea,140
Crown Heights,99
East Harlem,190
Williamsburg,299
Park Slope,130
Park Slope,80
Park Slope,110
Bedford-Stuyvesant,120
Windsor Terrace,60
Inwood,80
Hell's Kitchen,150
Inwood,44
East Village,180
Harlem,50
Harlem,52
Greenpoint,55
Harlem,50
Bedford-Stuyvesant,70
South Slope,89
Bedford-Stuyvesant,35
Bushwick,85
Flatbush,150
Lower East Side,40
East Village,68
South Slope,120
Fort Greene,120
Upper West Side,135
Harlem,150
Prospect-Lefferts Gardens,150
Long Island City,130
Bedford-Stuyvesant,110
Bedford-Stuyvesant,115
Fort Greene,80
Bedford-Stuyvesant,80
Upper West Side,151
Williamsburg,228
Greenpoint,144
Kips Bay,200
Williamsburg,150
Lower East Side,110
Hell's Kitchen,69
Greenpoint,49
SoHo,180
Williamsburg,80
Chelsea,375
Upper East Side,250
Prospect Heights,200
Clinton Hill,55
Hell's Kitchen,52
Park Slope,225
East Village,80
Williamsburg,275
East Village,99
East Harlem,225
East Village,230
Hell's Kitchen,51
Washington Heights,65
Clinton Hill,105
East Village,190
Upper East Side,200
Woodside,70
Fort Greene,95
Chelsea,150
Williamsburg,145
Harlem,110
Lower East Side,285
Flatbush,130
Lower East Side,94
Brooklyn Heights,800
Williamsburg,105
East Village,60
East Village,50
Williamsburg,85
Bushwick,65
Prospect Heights,131
Clinton Hill,98
Prospect Heights,250
Williamsburg,100
Bushwick,105
Upper West Side,140
Harlem,89
Chelsea,98
Bedford-Stuyvesant,125
Harlem,60
Carroll Gardens,175
Washington Heights,65
West Village,500
Williamsburg,101
Park Slope,220
Bedford-Stuyvesant,125
Williamsburg,80
Harlem,100
Gowanus,200
Hell's Kitchen,59
Clinton Hill,125
East Village,140
South Slope,120
East Village,350
Kips Bay,199
Williamsburg,325
Upper West Side,235
East Village,225
South Slope,99
Harlem,170
South Slope,400
Upper West Side,170
East Village,100
Prospect-Lefferts Gardens,75
Williamsburg,90
Upper East Side,150
Washington Heights,85
Bedford-Stuyvesant,70
Harlem,120
Clinton Hill,89
East Village,185
Greenpoint,50
Lower East Side,105
Hell's Kitchen,130
West Village,115
Flatlands,77
Clinton Hill,76
Bedford-Stuyvesant,125
Clinton Hill,135
Greenpoint,250
Williamsburg,199
Cobble Hill,140
Flushing,140
Bedford-Stuyvesant,115
Williamsburg,160
Williamsburg,195
East Village,195
Williamsburg,80
Fort Greene,44
West Village,156
Prospect Heights,85
Williamsburg,125
Prospect Heights,115
East Harlem,69
West Village,225
Williamsburg,125
Upper East Side,219
Boerum Hill,475
Upper East Side,99
Williamsburg,69
Sunnyside,79
Bedford-Stuyvesant,135
DUMBO,250
Upper East Side,250
Gowanus,250
Harlem,80
Clinton Hill,70
Carroll Gardens,165
St. George,70
Bushwick,50
Highbridge,40
Williamsburg,150
East Village,125
Financial District,196
Fort Greene,110
West Village,170
Harlem,165
West Village,150
Harlem,100
Fort Greene,65
Ridgewood,350
Morningside Heights,99
Williamsburg,200
Park Slope,150
Bedford-Stuyvesant,90
Prospect Heights,120
Upper East Side,75
Bedford-Stuyvesant,175
Chelsea,125
Hell's Kitchen,275
Lower East Side,299
South Slope,135
Upper East Side,130
Lower East Side,83
Chelsea,123
Jamaica,55
Hell's Kitchen,195
Bedford-Stuyvesant,80
Middle Village,98
Ridgewood,140
Middle Village,265
Williamsburg,249
Hell's Kitchen,105
Harlem,200
Prospect Heights,100
Harlem,121
Highbridge,45
East Harlem,100
Williamsburg,140
Bedford-Stuyvesant,71
NoHo,130
West Village,199
Williamsburg,69
Fort Greene,68
East Village,130
Greenpoint,195
Harlem,64
Ditmars Steinway,140
Cobble Hill,159
East Village,189
Hell's Kitchen,250
East Village,239
Flatiron District,305
Harlem,155
Harlem,60
Windsor Terrace,135
Roosevelt Island,120
Lower East Side,150
Ridgewood,140
Greenpoint,135
Chinatown,250
Midtown,250
SoHo,500
Greenwich Village,225
East Harlem,125
Harlem,92
Harlem,175
East Village,99
Upper West Side,195
East Harlem,140
Little Italy,135
Chelsea,500
Harlem,80
Chinatown,120
Midtown,110
East Flatbush,65
East Village,130
Bushwick,99
Tompkinsville,36
Tompkinsville,37
Tompkinsville,37
East Village,175
Chelsea,205
Greenpoint,285
Williamsburg,59
Tompkinsville,36
Astoria,99
Kensington,39
Park Slope,60
Clason Point,90
Eastchester,105
Bedford-Stuyvesant,135
East Village,390
Bedford-Stuyvesant,70
Inwood,75
Williamsburg,60
East Village,200
Crown Heights,100
Bedford-Stuyvesant,70
Crown Heights,110
Crown Heights,60
Little Italy,90
East Village,68
Upper West Side,115
Bedford-Stuyvesant,75
Williamsburg,60
East Village,129
Williamsburg,130
Williamsburg,95
Harlem,75
Park Slope,175
Carroll Gardens,190
Crown Heights,49
East Village,212
Lower East Side,95
Williamsburg,140
Harlem,135
Park Slope,150
Gowanus,190
East Harlem,124
Williamsburg,135
Morningside Heights,122
Upper West Side,109
Harlem,85
Bedford-Stuyvesant,145
Upper West Side,195
Carroll Gardens,250
Greenpoint,125
Little Italy,575
Upper West Side,150
Bushwick,70
Inwood,90
East Village,65
East Village,500
Washington Heights,250
Chinatown,125
West Village,200
Greenpoint,229
Kingsbridge,90
Upper West Side,110
Greenpoint,59
Williamsburg,195
Williamsburg,169
East Harlem,113
Harlem,250
Astoria,115
Greenpoint,55
Williamsburg,69
Lower East Side,150
South Slope,169
Greenpoint,179
Hell's Kitchen,150
Boerum Hill,135
Clinton Hill,350
Williamsburg,120
East Village,71
Greenpoint,349
Greenpoint,349
Park Slope,165
Greenpoint,249
Brooklyn Heights,100
Brooklyn Heights,200
East Village,169
Bedford-Stuyvesant,185
Bushwick,65
Fort Greene,130
Williamsburg,199
East Village,225
Greenpoint,179
Crown Heights,150
East Village,139
Two Bridges,95
Crown Heights,79
Lower East Side,150
Clinton Hill,650
