neighbourhood_group,neighbourhood
Brooklyn,Kensington
Manhattan,Midtown
Manhattan,Harlem
Brooklyn,Clinton Hill
Manhattan,East Harlem
Manhattan,Murray Hill
Brooklyn,Bedford-Stuyvesant
Manhattan,Hell's Kitchen
Manhattan,Upper West Side
Manhattan,Chinatown
Manhattan,Upper West Side
Manhattan,Hell's Kitchen
Brooklyn,South Slope
Manhattan,Upper West Side
Manhattan,West Village
Brooklyn,Williamsburg
Brooklyn,Fort Greene
Manhattan,Chelsea
Brooklyn,Crown Heights
Manhattan,East Harlem
Brooklyn,Williamsburg
Brooklyn,Park Slope
Brooklyn,Park Slope
Brooklyn,Park Slope
Brooklyn,Bedford-Stuyvesant
Brooklyn,Windsor Terrace
Manhattan,Inwood
Manhattan,Hell's Kitchen
Manhattan,Inwood
Manhattan,East Village
Manhattan,Harlem
Manhattan,Harlem
Brooklyn,Greenpoint
Manhattan,Harlem
Brooklyn,Bedford-Stuyvesant
Brooklyn,South Slope
Brooklyn,Bedford-Stuyvesant
Brooklyn,Bushwick
Brooklyn,Flatbush
Manhattan,Lower East Side
Manhattan,East Village
Brooklyn,South Slope
Brooklyn,Fort Greene
Manhattan,Upper West Side
Manhattan,Harlem
Brooklyn,Prospect-Lefferts Gardens
,
Brooklyn,Bedford-Stuyvesant
Brooklyn,Bedford-Stuyvesant
Brooklyn,Fort Greene
Brooklyn,Bedford-Stuyvesant
Manhattan,Upper West Side
Brooklyn,Williamsburg
Brooklyn,Greenpoint
Manhattan,Kips Bay
Brooklyn,Williamsburg
Manhattan,Lower East Side
Manhattan,Hell's Kitchen
Brooklyn,Greenpoint
Manhattan,SoHo
Brooklyn,Williamsburg
Manhattan,Chelsea
Manhattan,Upper East Side
Brooklyn,Prospect Heights
Brooklyn,Clinton Hill
Manhattan,Hell's Kitchen
Brooklyn,Park Slope
Manhattan,East Village
Brooklyn,Williamsburg
Manhattan,East Village
Manhattan,East Harlem
Manhattan,East Village
Manhattan,Hell's Kitchen
Manhattan,Washington Heights
Brooklyn,Clinton Hill
Manhattan,East Village
